id,failure
26570,0.190267880175481
26571,0.16357732784790213
26572,0.17778486386171566
26573,0.1812617944985333
26574,0.33832321552363853
26575,0.16353440665838267
26576,0.15583426556430854
26577,0.22422961743874717
26578,0.13603136487165254
26579,0.1607059721190985
26580,0.14841051293702112
26581,0.210325657858947
26582,0.20994919899185627
26583,0.1771203697268837
26584,0.2191416976411422
26585,0.16680178088865594
26586,0.16834459688486492
26587,0.1648322559146283
26588,0.2160084870433622
26589,0.17407114896756642
26590,0.16927022506050302
26591,0.22803292029959218
26592,0.23483934148724078
26593,0.17647757866926717
26594,0.1713510605353948
26595,0.2155309162065687
26596,0.2409090754043736
26597,0.16853638680094998
26598,0.2791356648669404
26599,0.18629378805490657
26600,0.18195469440835424
26601,0.22642865642948465
26602,0.29725475497595605
26603,0.20187884765141498
26604,0.15915793485615198
26605,0.15948241535407853
26606,0.1354641159244604
26607,0.1763033103203234
26608,0.14510454720700647
26609,0.22936502686347826
26610,0.16278999226985003
26611,0.1829742409335152
26612,0.12050002497760683
26613,0.20026946867752354
26614,0.16835386064983376
26615,0.18706146179608768
26616,0.1824689370148818
26617,0.14367924589017145
26618,0.3972605903676922
26619,0.16344553015424348
26620,0.17891784518178513
26621,0.1696457593432049
26622,0.18259666729685312
26623,0.21362260967740992
26624,0.1805712714624435
26625,0.21290431281277178
26626,0.14607456169561478
26627,0.358007978304899
26628,0.1327085182857739
26629,0.307760911935983
26630,0.18324449313384625
26631,0.23076301053130724
26632,0.22711272465910531
26633,0.18617327300504366
26634,0.23604936296246393
26635,0.24716125748252948
26636,0.4231189643613149
26637,0.20621337623402772
26638,0.2772588661480976
26639,0.15184994730670212
26640,0.18470516943870552
26641,0.1982332395948733
26642,0.2478420733105557
26643,0.23173648381759307
26644,0.1633363301978934
26645,0.1813016799734163
26646,0.2410297756371945
26647,0.22491413416640096
26648,0.17982060585447224
26649,0.21130024537747866
26650,0.22424131932829144
26651,0.20187681123085155
26652,0.22770448546295452
26653,0.20295704132836356
26654,0.2765461159114981
26655,0.2224986644143404
26656,0.1782342360195127
26657,0.2107428706222069
26658,0.2319677388246276
26659,0.18153404437413778
26660,0.2014272060172337
26661,0.18247144036446705
26662,0.16774618580329484
26663,0.26214658259196444
26664,0.1768564634581659
26665,0.17485044123775337
26666,0.13883431295487297
26667,0.19308236666197884
